      data,   fonte,     praca,          categoria,   preco
2023-11-08,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-11-15,  Emater,  Alegrete,          Leite (l),    2.05
2023-11-15,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-11-15,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-11-29,  Emater,  Alegrete,          Leite (l),    2.05
2023-11-29,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-11-29,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-12-06,  Emater,  Alegrete,          Leite (l),    2.05
2023-12-06,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-12-06,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-12-13,  Emater,  Alegrete,          Leite (l),    2.05
2023-12-13,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-12-13,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2023-12-20,  Emater,  Alegrete,          Leite (l),    2.05
2023-12-20,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2023-12-20,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-01-10,  Emater,  Alegrete,          Leite (l),    2.05
2024-01-10,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-01-10,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-01-17,  Emater,  Alegrete,          Leite (l),    2.05
2024-01-17,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-01-17,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-01-24,  Emater,  Alegrete,          Leite (l),    2.05
2024-01-24,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-01-24,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-01-31,  Emater,  Alegrete,          Leite (l),    2.05
2024-01-31,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-01-31,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-02-07,  Emater,  Alegrete,          Leite (l),    2.05
2024-02-07,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-02-07,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-02-14,  Emater,  Alegrete,          Leite (l),    2.05
2024-02-14,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-02-14,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-02-21,  Emater,  Alegrete,          Leite (l),    2.05
2024-02-21,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-02-21,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-03-06,  Emater,  Alegrete,          Leite (l),    2.05
2024-03-06,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-03-06,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
2024-03-20,  Emater,  Alegrete,          Leite (l),    2.05
2024-03-20,  Emater,  Alegrete,  Vaquilhona prenha,  5000.0
2024-03-20,  Emater,  Alegrete,       Vaca 1ª cria,  6500.0
