      data,    praca,         fonte,  nome cientifico, nome comum,   unidade,   preco
2024-02-28, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,      NA
2024-03-06, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  110.00
2024-03-06, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   60.00
2024-03-06, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,      NA
2024-03-13, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  112.00
2024-03-13, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   46.00
2024-03-13, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,      NA
2024-03-20, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  115.00
2024-03-20, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   46.00
2024-03-20, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,      NA
2024-04-03, Alegrete, Agrop. Nemitz,      Glycine max,       Soja, Saca 60kg,  118.00
2024-04-03, Alegrete, Agrop. Nemitz,         Zea mays,      Milho, Saca 60kg,   46.00
2024-04-03, Alegrete, Agrop. Nemitz,     Oryza sativa,      Arroz, Saca 50kg,      NA
